name,link
"Lab 1 : Array Operations",UiJF8v
"Lab 2A: Single Linked list Operations",N9mwMG
"Lab 2B: Single Circular Linked list Operations",uMMfKi
"Lab 3A: Double Linked list Operations",HkMVeN
"Lab 3Bi: Stack using Array implementation",n6YRfj
"Lab 3Bii: Stack using Linked list implementation",F6ohC3
"Lab 4A: Conversation of infix into postfix",sOVoWA
"Lab 4B: Postfix Evaluation",NY2rJb
"Lab 5A: Queue using Array",mXwAF9
"Lab 5B: Queue using SLL",dSzPvP
"Lab 6: Binary Search Tree",DZ9s4n
"Lab 7: Non recursive traversal",UCi4CR
"Lab 8A: Check for AVL",ggL6Bn
"Lab 8B: height of Binary tree",aXr4fo
"Lab 8C: No of children of tree",kSELy6
"Lab 9A: DFS",CUU8Z0
"Lab 9B: BFS",up5woQ
"Lab 10A: Types of Hashing",GdjVwu
"Lab 10Bi: Linear Probing",dyjaLw
"Lab 10Bii: Quadratic Probing",bHVQpe
"Lab 11A: Quick Sort",ahgfji
"Lab 11B: Heap Sort",tZJtnx
"Lab 12A: KMP pattern matching Algorithm",33Sk26
"Lab 12b: Brute Force pattern matching Algorithm",4Gx3kP
